,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
9329,MANTAUSDT,TROYUSDT,0.0,-4.38,-3.37,336.4,58
301,10000COQUSDT,ATAUSDT,0.0,-5.6,-3.37,0.09,52
11828,RENUSDT,SLFUSDT,0.0,-5.35,-3.37,0.11,50
4373,COOKIEUSDT,MAVIAUSDT,0.0,-4.45,-3.37,0.51,50
2597,ATAUSDT,GMXUSDT,0.0,-6.22,-3.37,0.0,50
405,10000COQUSDT,GMTUSDT,0.0,-5.71,-3.37,0.1,49
66,1000000BABYDOGEUSDT,SCRTUSDT,0.04,-3.46,-3.37,0.01,49
2743,AUDIOUSDT,DRIFTUSDT,0.0,-5.31,-3.37,0.14,49
698,10000QUBICUSDT,METISUSDT,0.0,-5.33,-3.37,0.0,49
1027,1000LUNCUSDT,HOOKUSDT,0.0,-4.61,-3.37,0.28,48
2269,ALTUSDT,TROYUSDT,0.01,-3.81,-3.37,40.25,48
6385,FIDAUSDT,LPTUSDT,0.0,-4.4,-3.37,0.02,48
1835,AEVOUSDT,TROYUSDT,0.0,-4.28,-3.37,145.12,48
1757,AERGOUSDT,CROUSDT,0.02,-3.64,-3.37,0.82,47
687,10000QUBICUSDT,KASUSDT,0.0,-4.37,-3.37,0.18,47
2618,ATAUSDT,ROSEUSDT,0.04,-3.41,-3.37,1.68,47
3861,C98USDT,TLMUSDT,0.0,-4.21,-3.37,13.39,47
427,10000COQUSDT,ILVUSDT,0.0,-5.58,-3.37,0.0,46
792,10000WHYUSDT,ALGOUSDT,0.0,-5.62,-3.37,0.0,46
743,10000QUBICUSDT,VETUSDT,0.0,-5.69,-3.37,0.5,46
6625,FLRUSDT,VETUSDT,0.04,-3.4,-3.37,0.55,46
399,10000COQUSDT,FXSUSDT,0.0,-5.27,-3.37,0.0,46
2393,APTUSDT,SYNUSDT,0.03,-3.58,-3.37,17.0,46
6576,FLOWUSDT,IDUSDT,0.0,-5.78,-3.37,1.81,45
8739,KSMUSDT,LQTYUSDT,0.0,-4.13,-3.37,16.98,45
1347,1000XECUSDT,SNTUSDT,0.03,-3.53,-3.37,0.81,45
11218,POWRUSDT,SCUSDT,0.0,-4.7,-3.37,49.66,45
700,10000QUBICUSDT,MNTUSDT,0.0,-4.66,-3.37,0.02,45
12656,SCRTUSDT,TROYUSDT,0.03,-3.47,-3.37,178.39,44
3671,BOBAUSDT,RSS3USDT,0.0,-4.71,-3.37,1.97,44
498,10000COQUSDT,ORCAUSDT,0.0,-6.14,-3.37,0.0,44
13740,TAIKOUSDT,WAVESUSDT,0.0,-4.23,-3.37,0.84,44
538,10000COQUSDT,SCRTUSDT,0.0,-6.28,-3.37,0.03,44
529,10000COQUSDT,RIFUSDT,0.0,-6.0,-3.37,0.12,44
329,10000COQUSDT,BNXUSDT,0.0,-6.03,-3.37,0.04,44
5743,EDUUSDT,TROYUSDT,0.02,-3.72,-3.37,252.33,44
12736,SCUSDT,1000BTTUSDT,0.03,-3.55,-3.37,5.0,44
8751,KSMUSDT,TROYUSDT,0.01,-3.88,-3.37,14192.51,44
6348,FDUSDUSDT,USDCUSDT,0.02,-3.64,-3.37,1.0,44
5095,DATAUSDT,GMXUSDT,0.04,-3.38,-3.37,0.0,44
345,10000COQUSDT,CHRUSDT,0.0,-5.39,-3.37,0.06,44
311,10000COQUSDT,AXSUSDT,0.0,-5.63,-3.37,0.0,44
2371,API3USDT,SCRTUSDT,0.01,-3.79,-3.37,3.78,44
4522,CROUSDT,DOGEUSDT,0.02,-3.67,-3.37,0.4,43
6614,FLRUSDT,PIRATEUSDT,0.04,-3.41,-3.37,0.29,43
804,10000WHYUSDT,BRETTUSDT,0.02,-3.71,-3.37,0.01,43
3638,BNXUSDT,MOVRUSDT,0.0,-5.48,-3.37,0.03,43
10343,NULSUSDT,QUICKUSDT,0.0,-4.7,-3.37,10.38,43
8627,KASUSDT,TOKENUSDT,0.03,-3.48,-3.37,3.61,43
2789,AUDIOUSDT,RENUSDT,0.04,-3.44,-3.37,5.03,43
11499,QUICKUSDT,SSVUSDT,0.01,-3.86,-3.37,0.0,43
606,10000LADYSUSDT,OMNIUSDT,0.0,-4.54,-3.37,0.0,43
625,10000QUBICUSDT,AAVEUSDT,0.0,-5.44,-3.37,0.0,43
13581,STORJUSDT,FLOWUSDT,0.02,-3.67,-3.37,0.66,43
2463,ARKUSDT,DRIFTUSDT,0.01,-4.01,-3.37,0.55,43
13394,SNTUSDT,1000BTTUSDT,0.04,-3.38,-3.37,38.33,43
3962,CELOUSDT,SXPUSDT,0.0,-4.7,-3.37,1.88,42
3831,C98USDT,FIDAUSDT,0.0,-4.22,-3.37,0.63,42
491,10000COQUSDT,NTRNUSDT,0.0,-5.42,-3.37,0.03,42
559,10000COQUSDT,STRKUSDT,0.0,-5.78,-3.37,0.03,42
12484,SAFEUSDT,AERGOUSDT,0.03,-3.49,-3.37,7.38,42
483,10000COQUSDT,NEARUSDT,0.0,-5.68,-3.37,0.0,42
2617,ATAUSDT,RIFUSDT,0.01,-4.09,-3.37,1.29,42
9270,MANAUSDT,PROMUSDT,0.0,-6.41,-3.37,0.09,42
457,10000COQUSDT,MANAUSDT,0.0,-5.45,-3.37,0.02,42
2613,ATAUSDT,ORCAUSDT,0.01,-3.89,-3.37,0.04,42
13514,STMXUSDT,1INCHUSDT,0.04,-3.4,-3.37,0.02,42
5174,DGBUSDT,1000LUNCUSDT,0.0,-4.11,-3.37,0.14,42
8970,LQTYUSDT,BALUSDT,0.03,-3.53,-3.37,0.62,42
387,10000COQUSDT,FIDAUSDT,0.0,-6.12,-3.37,0.05,42
416,10000COQUSDT,HIFIUSDT,0.0,-5.72,-3.37,0.02,42
3065,BANANAUSDT,IOTAUSDT,0.0,-4.41,-3.37,125.72,41
664,10000QUBICUSDT,ENSUSDT,0.0,-5.86,-3.37,0.0,41
3030,BANANAUSDT,DASHUSDT,0.03,-3.59,-3.37,1.14,41
4445,COSUSDT,STORJUSDT,0.01,-3.95,-3.37,0.01,41
1821,AEVOUSDT,MANTAUSDT,0.0,-4.72,-3.37,0.43,41
5106,DATAUSDT,PROMUSDT,0.0,-4.81,-3.37,0.01,41
8340,IDEXUSDT,RENUSDT,0.0,-4.75,-3.37,1.8,41
7185,GODSUSDT,QUICKUSDT,0.0,-4.16,-3.37,4.99,41
6967,GLMRUSDT,THEUSDT,0.02,-3.73,-3.37,0.25,41
10939,PEAQUSDT,OMGUSDT,0.04,-3.44,-3.37,1.14,41
10796,OSMOUSDT,1000FLOKIUSDT,0.0,-4.25,-3.37,3.1,41
4424,COSUSDT,HOOKUSDT,0.01,-3.91,-3.37,0.02,41
10956,PEAQUSDT,SDUSDT,0.0,-4.25,-3.37,0.38,41
12374,ROSEUSDT,STORJUSDT,0.0,-4.16,-3.37,0.14,41
701,10000QUBICUSDT,NEOUSDT,0.0,-4.84,-3.37,0.0,41
3287,BICOUSDT,GRTUSDT,0.02,-3.71,-3.37,1.35,41
2623,ATAUSDT,STRKUSDT,0.0,-4.22,-3.37,0.29,41
431,10000COQUSDT,IOTAUSDT,0.0,-6.55,-3.37,0.03,40
534,10000COQUSDT,SAFEUSDT,0.01,-3.96,-3.37,0.01,40
13662,SUSHIUSDT,TROYUSDT,0.04,-3.42,-3.37,685.61,40
314,10000COQUSDT,BANANAUSDT,0.0,-4.58,-3.37,0.0,40
302,10000COQUSDT,ATHUSDT,0.0,-5.2,-3.37,0.17,40
294,10000COQUSDT,API3USDT,0.0,-6.74,-3.37,0.01,40
2471,ARKUSDT,IDEXUSDT,0.02,-3.76,-3.37,11.0,40
7186,GODSUSDT,RVNUSDT,0.01,-3.82,-3.37,8.7,40
259,10000COQUSDT,10000WHYUSDT,0.0,-5.01,-3.37,13.79,40
6420,FILUSDT,ILVUSDT,0.02,-3.69,-3.37,0.15,40
530,10000COQUSDT,ROSEUSDT,0.0,-6.05,-3.37,0.15,40
9159,LUNA2USDT,RDNTUSDT,0.02,-3.63,-3.37,7.07,40
5099,DATAUSDT,MANAUSDT,0.01,-4.02,-3.37,0.07,40
3644,BNXUSDT,PROMUSDT,0.01,-3.93,-3.37,0.05,40
4163,CHESSUSDT,USTCUSDT,0.0,-4.12,-3.37,10.16,40
5746,EDUUSDT,USTCUSDT,0.0,-4.71,-3.37,30.56,40
1737,ADAUSDT,TAIKOUSDT,0.0,-5.04,-3.37,0.72,40
4515,CROUSDT,CVCUSDT,0.02,-3.74,-3.37,0.94,40
12572,SAGAUSDT,TROYUSDT,0.01,-3.99,-3.37,621.97,40
10958,PEAQUSDT,SOLOUSDT,0.03,-3.55,-3.37,0.78,40
660,10000QUBICUSDT,EGLDUSDT,0.0,-4.4,-3.37,0.0,40
9852,MOBILEUSDT,DATAUSDT,0.02,-3.62,-3.37,0.02,40
8364,IDUSDT,LUNA2USDT,0.04,-3.46,-3.37,1.1,40
8706,KNCUSDT,MTLUSDT,0.0,-4.48,-3.37,0.45,40
4414,COSUSDT,DODOUSDT,0.0,-5.02,-3.37,0.06,40
7034,GLMUSDT,SCUSDT,0.0,-4.74,-3.37,63.2,40
7662,GTCUSDT,MEUSDT,0.0,-5.07,-3.37,0.3,40
7036,GLMUSDT,SNTUSDT,0.01,-3.82,-3.37,8.24,40
6437,FILUSDT,TROYUSDT,0.0,-4.58,-3.37,2594.46,40
3755,BRETTUSDT,SOLVUSDT,0.0,-4.15,-3.37,1.45,40
672,10000QUBICUSDT,FLRUSDT,0.01,-4.08,-3.37,0.91,40
46,1000000BABYDOGEUSDT,HIFIUSDT,0.0,-4.38,-3.37,0.0,39
2970,BAKEUSDT,SLPUSDT,0.0,-4.92,-3.37,65.45,39
1756,AERGOUSDT,COMPUSDT,0.01,-3.84,-3.37,0.0,39
11417,PYRUSDT,SWELLUSDT,0.02,-3.63,-3.37,136.23,39
47,1000000BABYDOGEUSDT,HMSTRUSDT,0.03,-3.51,-3.37,0.78,39
806,10000WHYUSDT,C98USDT,0.02,-3.62,-3.37,0.01,39
9448,MAXUSDT,ETHUSDT,0.02,-3.72,-3.37,0.0,39
2350,API3USDT,BANANAUSDT,0.0,-4.6,-3.37,0.03,39
4331,COMPUSDT,HBARUSDT,0.02,-3.66,-3.37,224.65,39
8469,IOTAUSDT,SCRTUSDT,0.04,-3.42,-3.37,0.93,39
6911,GIGAUSDT,RENUSDT,0.02,-3.75,-3.37,2.31,39
3882,CARVUSDT,STEEMUSDT,0.0,-4.54,-3.37,2.95,39
669,10000QUBICUSDT,ETHWUSDT,0.0,-4.76,-3.37,0.01,39
10773,ORCAUSDT,TROYUSDT,0.01,-3.92,-3.37,1566.14,39
5472,DODOUSDT,USTCUSDT,0.04,-3.38,-3.37,6.87,39
5468,DODOUSDT,SXPUSDT,0.01,-4.01,-3.37,0.36,39
9545,MAXUSDT,RVNUSDT,0.01,-4.02,-3.37,7.13,39
1192,1000TURBOUSDT,GALAUSDT,0.04,-3.41,-3.37,179.73,39
588,10000COQUSDT,VELODROMEUSDT,0.0,-4.81,-3.37,0.09,39
2165,ALICEUSDT,KSMUSDT,0.0,-4.38,-3.37,0.04,39
641,10000QUBICUSDT,BNTUSDT,0.0,-4.48,-3.37,0.03,39
3290,BICOUSDT,KASUSDT,0.01,-3.81,-3.37,1.86,39
9125,LTCUSDT,QNTUSDT,0.02,-3.64,-3.37,1.14,39
9101,LSKUSDT,POWRUSDT,0.03,-3.58,-3.37,3.41,39
821,10000WHYUSDT,GMTUSDT,0.03,-3.48,-3.37,0.01,39
5714,EDUUSDT,FILUSDT,0.03,-3.55,-3.37,0.1,39
14319,WAVESUSDT,ETHWUSDT,0.04,-3.41,-3.37,0.61,39
448,10000COQUSDT,LPTUSDT,0.0,-5.51,-3.37,0.0,38
7109,GMXUSDT,LPTUSDT,0.01,-3.85,-3.37,1.88,38
7127,GMXUSDT,ROSEUSDT,0.0,-4.97,-3.37,346.75,38
7188,GODSUSDT,STMXUSDT,0.0,-4.77,-3.37,29.48,38
8505,IOTXUSDT,NEARUSDT,0.02,-3.61,-3.37,0.01,38
11282,PROMUSDT,FUSDT,0.02,-3.68,-3.37,120.91,38
5735,EDUUSDT,ROSEUSDT,0.01,-3.82,-3.37,7.51,38
1235,1000TURBOUSDT,SUSHIUSDT,0.0,-5.1,-3.37,4.4,38
9011,LQTYUSDT,STRKUSDT,0.02,-3.63,-3.37,4.32,38
421,10000COQUSDT,HOTUSDT,0.0,-5.94,-3.37,4.52,38
7640,GRTUSDT,MEUSDT,0.01,-3.77,-3.37,0.09,38
406,10000COQUSDT,GMXUSDT,0.0,-5.05,-3.37,0.0,38
2928,AXSUSDT,MANAUSDT,0.04,-3.41,-3.37,12.11,38
9157,LUNA2USDT,PROMUSDT,0.02,-3.66,-3.37,0.06,38
415,10000COQUSDT,HFTUSDT,0.0,-5.79,-3.37,0.06,38
413,10000COQUSDT,GUSDT,0.0,-4.75,-3.37,0.35,38
5364,DGBUSDT,RENUSDT,0.0,-4.94,-3.37,0.42,38
8163,HOOKUSDT,OSMOUSDT,0.01,-3.81,-3.37,0.7,38
4048,CFXUSDT,REQUSDT,0.02,-3.63,-3.37,1.29,38
7669,GTCUSDT,SYNUSDT,0.03,-3.53,-3.37,1.25,38
362,10000COQUSDT,CVXUSDT,0.0,-5.83,-3.37,0.0,38
5094,DATAUSDT,FUSDT,0.01,-4.11,-3.37,0.77,38
9855,MOBILEUSDT,PROMUSDT,0.03,-3.54,-3.37,0.0,38
8941,LOOKSUSDT,TROYUSDT,0.02,-3.66,-3.37,18.02,38
10833,OSMOUSDT,SXPUSDT,0.03,-3.48,-3.37,1.37,38
6107,FDUSDUSDT,FTNUSDT,0.02,-3.75,-3.37,0.26,38
5199,DGBUSDT,AUDIOUSDT,0.02,-3.71,-3.37,0.08,38
979,1000FLOKIUSDT,ALICEUSDT,0.04,-3.43,-3.37,0.13,38
611,10000LADYSUSDT,SONICUSDT,0.0,-4.43,-3.37,0.0,38
5719,EDUUSDT,IDUSDT,0.03,-3.51,-3.37,1.29,38
13580,STORJUSDT,FIDAUSDT,0.02,-3.6,-3.37,2.15,38
2601,ATAUSDT,IOTAUSDT,0.04,-3.46,-3.37,0.34,38
5066,DASHUSDT,LQTYUSDT,0.0,-5.21,-3.37,21.95,38
4302,COMBOUSDT,RDNTUSDT,0.0,-4.86,-3.37,7.41,38
12280,REZUSDT,TROYUSDT,0.01,-3.81,-3.37,13.59,38
678,10000QUBICUSDT,GRTUSDT,0.0,-4.12,-3.37,0.13,38
388,10000COQUSDT,FILUSDT,0.0,-5.94,-3.37,0.0,38
11060,PNUTUSDT,VIRTUALUSDT,0.0,-4.33,-3.37,0.13,38
9720,MEMEFIUSDT,PNUTUSDT,0.04,-3.45,-3.37,0.01,38
4142,CHESSUSDT,OSMOUSDT,0.01,-3.84,-3.37,0.38,38
309,10000COQUSDT,AVAXUSDT,0.0,-6.6,-3.37,0.0,38
6383,FIDAUSDT,KSMUSDT,0.02,-3.65,-3.37,0.01,38
791,10000WHYUSDT,AKTUSDT,0.03,-3.48,-3.37,0.0,38
691,10000QUBICUSDT,LINKUSDT,0.0,-4.54,-3.37,0.0,38
8115,HOOKUSDT,EDUUSDT,0.01,-3.87,-3.37,0.6,38
4173,CHILLGUYUSDT,DYMUSDT,0.0,-4.64,-3.37,0.06,37
11787,RENUSDT,CROUSDT,0.01,-4.08,-3.37,0.2,37
3215,BBUSDT,STRKUSDT,0.0,-4.84,-3.37,0.77,37
6821,GALAUSDT,ORDIUSDT,0.0,-4.21,-3.37,0.0,37
8027,HIVEUSDT,PROSUSDT,0.0,-4.84,-3.37,0.92,37
1070,1000NEIROCTOUSDT,METISUSDT,0.03,-3.55,-3.37,0.02,37
4707,CTCUSDT,DRIFTUSDT,0.01,-3.81,-3.37,1.04,37
3835,C98USDT,GMXUSDT,0.0,-4.43,-3.37,0.01,37
2891,AVAXUSDT,IOTXUSDT,0.0,-4.22,-3.37,1092.86,37
9776,MEUSDT,SUSHIUSDT,0.02,-3.71,-3.37,1.52,37
5782,ENSUSDT,ETHWUSDT,0.04,-3.41,-3.37,12.92,37
284,10000COQUSDT,AKTUSDT,0.0,-6.08,-3.37,0.0,37
11830,RENUSDT,SOLVUSDT,0.0,-4.48,-3.37,0.46,37
3075,BANANAUSDT,LPTUSDT,0.0,-4.31,-3.37,3.39,37
455,10000COQUSDT,MAGICUSDT,0.0,-5.73,-3.37,0.03,37
3616,BNXUSDT,GMTUSDT,0.0,-4.27,-3.37,2.69,37
3111,BANANAUSDT,RIFUSDT,0.01,-3.92,-3.37,478.01,37
5791,EOSUSDT,1000BTTUSDT,0.02,-3.68,-3.37,745.92,37
5452,DODOUSDT,OSMOUSDT,0.03,-3.55,-3.37,0.26,37
75,1000000BABYDOGEUSDT,SXPUSDT,0.02,-3.73,-3.37,0.01,37
2392,APTUSDT,SUSHIUSDT,0.02,-3.68,-3.37,6.17,37
636,10000QUBICUSDT,ATOMUSDT,0.0,-5.44,-3.37,0.0,37
7657,GTCUSDT,HOOKUSDT,0.02,-3.62,-3.37,2.05,37
2433,ARKMUSDT,LINAUSDT,0.0,-4.12,-3.37,327.27,37
1752,AERGOUSDT,ARKUSDT,0.03,-3.59,-3.37,0.21,37
2112,ALGOUSDT,HOOKUSDT,0.01,-3.77,-3.37,1.37,37
2606,ATAUSDT,LQTYUSDT,0.02,-3.64,-3.37,0.07,37
10766,ORCAUSDT,SCRTUSDT,0.0,-4.51,-3.37,8.78,37
8287,ICPUSDT,QUICKUSDT,0.01,-3.77,-3.37,283.83,37
6893,GIGAUSDT,KMNOUSDT,0.01,-3.99,-3.37,0.54,37
6770,FUSDT,OPUSDT,0.0,-4.52,-3.37,0.03,37
4483,COWUSDT,SCRTUSDT,0.04,-3.43,-3.37,1.74,37
2919,AXSUSDT,BANANAUSDT,0.0,-4.58,-3.37,0.14,37
5643,DRIFTUSDT,HBARUSDT,0.01,-3.91,-3.37,2.97,37
74,1000000BABYDOGEUSDT,SUSHIUSDT,0.02,-3.7,-3.37,0.0,37
810,10000WHYUSDT,COWUSDT,0.0,-4.17,-3.37,0.0,37
5755,EGLDUSDT,SYNUSDT,0.03,-3.48,-3.37,64.38,37
1532,ACTUSDT,PEAQUSDT,0.04,-3.4,-3.37,0.56,37
8437,IOSTUSDT,MTLUSDT,0.0,-4.28,-3.37,0.01,37
795,10000WHYUSDT,ATAUSDT,0.04,-3.43,-3.37,0.01,36
4306,COMBOUSDT,TROYUSDT,0.04,-3.38,-3.37,186.6,36
541,10000COQUSDT,SEIUSDT,0.0,-6.32,-3.37,0.03,36
2149,ALICEUSDT,ALTUSDT,0.02,-3.75,-3.37,13.0,36
8747,KSMUSDT,SCRTUSDT,0.02,-3.74,-3.37,79.56,36
270,10000COQUSDT,1000TURBOUSDT,0.0,-5.17,-3.37,0.0,36
3031,BANANAUSDT,DATAUSDT,0.0,-5.07,-3.37,1174.94,36
524,10000COQUSDT,RDNTUSDT,0.0,-6.22,-3.37,0.2,36
3227,BCHUSDT,DGBUSDT,0.01,-4.1,-3.37,39368.53,36
2831,AVAUSDT,AKTUSDT,0.04,-3.39,-3.37,0.32,36
377,10000COQUSDT,EDUUSDT,0.0,-5.74,-3.37,0.02,36
454,10000COQUSDT,LUNA2USDT,0.0,-5.83,-3.37,0.03,36
5789,ENSUSDT,TOKENUSDT,0.02,-3.69,-3.37,925.51,36
2277,ALUUSDT,RAYDIUMUSDT,0.03,-3.56,-3.37,0.01,36
7163,GOATUSDT,PNUTUSDT,0.01,-4.1,-3.37,0.78,36
335,10000COQUSDT,C98USDT,0.0,-5.96,-3.37,0.07,36
3611,BNXUSDT,FIDAUSDT,0.0,-4.92,-3.37,1.3,36
3845,C98USDT,LQTYUSDT,0.0,-4.46,-3.37,0.08,36
9726,MEMEFIUSDT,SUNDOGUSDT,0.01,-4.04,-3.37,0.04,36
11133,PORTALUSDT,ARKMUSDT,0.05,-3.37,-3.37,0.18,36
348,10000COQUSDT,COMBOUSDT,0.0,-5.38,-3.37,0.03,36
316,10000COQUSDT,BATUSDT,0.0,-5.73,-3.37,0.04,36
8930,LOOKSUSDT,SLPUSDT,0.0,-4.57,-3.37,11.32,36
709,10000QUBICUSDT,PIRATEUSDT,0.02,-3.6,-3.37,0.26,36
14184,USTCUSDT,TROYUSDT,0.03,-3.54,-3.37,8.26,36
704,10000QUBICUSDT,ORDIUSDT,0.0,-4.69,-3.37,0.0,36
12274,REZUSDT,ORCAUSDT,0.01,-3.81,-3.37,0.01,36
304,10000COQUSDT,AUCTIONUSDT,0.0,-5.59,-3.37,0.0,36
12647,SCAUSDT,SUPERUSDT,0.02,-3.66,-3.37,0.18,36
300,10000COQUSDT,ASTRUSDT,0.0,-5.87,-3.37,0.18,36
6370,FIDAUSDT,FLOWUSDT,0.03,-3.58,-3.37,0.31,36
12278,REZUSDT,SEIUSDT,0.03,-3.49,-3.37,0.08,36
516,10000COQUSDT,PROMUSDT,0.0,-5.37,-3.37,0.0,36
9313,MANTAUSDT,DYDXUSDT,0.04,-3.43,-3.37,0.57,36
566,10000COQUSDT,SUSHIUSDT,0.0,-5.63,-3.37,0.01,36
396,10000COQUSDT,FOXYUSDT,0.0,-4.83,-3.37,1.34,36
447,10000COQUSDT,LOOKSUSDT,0.0,-5.69,-3.37,0.28,36
4402,COSUSDT,1000LUNCUSDT,0.03,-3.56,-3.37,0.08,36
429,10000COQUSDT,INJUSDT,0.0,-5.27,-3.37,0.0,36
4397,COREUSDT,MERLUSDT,0.03,-3.55,-3.37,5.19,36
8148,HOOKUSDT,LUNA2USDT,0.0,-4.2,-3.37,0.86,36
478,10000COQUSDT,MOVRUSDT,0.0,-6.17,-3.37,0.0,36
4164,CHILLGUYUSDT,ANIMEUSDT,0.03,-3.48,-3.37,1.21,36
5138,DENTUSDT,FILUSDT,0.0,-4.67,-3.37,0.0,36
1234,1000TURBOUSDT,SUPERUSDT,0.0,-4.47,-3.37,5.76,36
9015,LQTYUSDT,TROYUSDT,0.01,-3.89,-3.37,835.61,36
6626,FLRUSDT,WAVESUSDT,0.04,-3.39,-3.37,0.02,36
3860,C98USDT,STRKUSDT,0.02,-3.61,-3.37,0.35,36
439,10000COQUSDT,KNCUSDT,0.0,-5.76,-3.37,0.02,36
5381,DGBUSDT,SLFUSDT,0.0,-4.5,-3.37,0.05,36
12472,RVNUSDT,SYSUSDT,0.01,-4.04,-3.37,0.2,36
2040,AKTUSDT,ATHUSDT,0.0,-4.58,-3.37,48.4,36
472,10000COQUSDT,MINAUSDT,0.0,-5.85,-3.37,0.02,36
2462,ARKUSDT,CROUSDT,0.0,-4.57,-3.37,3.89,36
1394,1000XUSDT,SONICUSDT,0.01,-4.05,-3.37,0.2,36
470,10000COQUSDT,MEUSDT,0.0,-5.03,-3.37,0.0,36
13862,TROYUSDT,UMAUSDT,0.0,-4.32,-3.37,0.0,36
449,10000COQUSDT,LQTYUSDT,0.0,-5.59,-3.37,0.01,36
3190,BBUSDT,GMTUSDT,0.0,-4.14,-3.37,2.8,36
652,10000QUBICUSDT,CTSIUSDT,0.02,-3.72,-3.37,0.17,35
10128,NMRUSDT,TRBUSDT,0.04,-3.45,-3.37,0.26,35
8419,INJUSDT,TIAUSDT,0.02,-3.72,-3.37,4.65,35
4661,CRVUSDT,INJUSDT,0.03,-3.53,-3.37,0.04,35
715,10000QUBICUSDT,RVNUSDT,0.01,-3.96,-3.37,1.26,35
586,10000COQUSDT,VANAUSDT,0.0,-4.76,-3.37,0.0,35
9558,MAXUSDT,SSVUSDT,0.01,-3.92,-3.37,0.01,35
12390,RSRUSDT,DBRUSDT,0.02,-3.72,-3.37,0.4,35
10024,MYROUSDT,PNUTUSDT,0.01,-4.1,-3.37,0.12,35
6807,FXSUSDT,SCRTUSDT,0.01,-3.82,-3.37,7.91,35
5622,DOGUSDT,LTCUSDT,0.03,-3.56,-3.37,0.0,35
3277,BEAMUSDT,SOLVUSDT,0.03,-3.53,-3.37,0.28,35
7668,GTCUSDT,SUSHIUSDT,0.02,-3.65,-3.37,0.45,35
711,10000QUBICUSDT,QUICKUSDT,0.0,-4.33,-3.37,0.72,35
8349,IDEXUSDT,VANAUSDT,0.0,-4.25,-3.37,0.01,35
2927,AXSUSDT,LPTUSDT,0.01,-3.93,-3.37,0.48,35
380,10000COQUSDT,ENAUSDT,0.0,-5.28,-3.37,0.01,35
5741,EDUUSDT,STXUSDT,0.01,-3.91,-3.37,0.35,35
683,10000QUBICUSDT,ICPUSDT,0.0,-4.82,-3.37,0.0,35
6846,GASUSDT,GODSUSDT,0.0,-4.91,-3.37,29.75,35
8270,HYPEUSDT,MOCAUSDT,0.0,-4.22,-3.37,127.71,35
9403,MAXUSDT,ATOMUSDT,0.0,-4.16,-3.37,0.02,35
2257,ALTUSDT,MANTAUSDT,0.01,-3.96,-3.37,0.12,35
3825,C98USDT,COMBOUSDT,0.03,-3.58,-3.37,0.37,35
12619,SANDUSDT,ORDERUSDT,0.01,-3.77,-3.37,2.23,35
666,10000QUBICUSDT,ETCUSDT,0.0,-4.85,-3.37,0.0,35
1712,ADAUSDT,MVLUSDT,0.02,-3.76,-3.37,200.69,35
7180,GODSUSDT,MAXUSDT,0.02,-3.73,-3.37,1.22,35
10076,NEOUSDT,NMRUSDT,0.01,-3.78,-3.37,1.08,35
4613,CROUSDT,POWRUSDT,0.0,-4.12,-3.37,0.51,35
6398,FIDAUSDT,PROMUSDT,0.0,-4.64,-3.37,0.04,35
5647,DRIFTUSDT,LAIUSDT,0.0,-5.68,-3.37,115.48,35
6795,FXSUSDT,INJUSDT,0.01,-3.78,-3.37,0.13,35
4323,COMPUSDT,DOGEUSDT,0.0,-4.29,-3.37,212.2,35
2885,AVAXUSDT,BLURUSDT,0.01,-3.84,-3.37,185.65,35
2555,ASTRUSDT,KNCUSDT,0.02,-3.68,-3.37,0.1,35
13486,SSVUSDT,TOKENUSDT,0.01,-3.95,-3.37,518.67,35
12276,REZUSDT,SAGAUSDT,0.01,-4.02,-3.37,0.02,35
5749,EGLDUSDT,KASUSDT,0.02,-3.69,-3.37,227.31,35
5689,DYDXUSDT,CYBERUSDT,0.01,-3.87,-3.37,0.42,35
0,10000000AIDOGEUSDT,1000FLOKIUSDT,0.02,-3.66,-3.37,0.01,35
8805,LINAUSDT,PORTALUSDT,0.0,-5.33,-3.37,0.02,35
8998,LQTYUSDT,RIFUSDT,0.0,-4.17,-3.37,19.06,35
2769,AUDIOUSDT,MINAUSDT,0.0,-4.25,-3.37,0.28,35
13659,SUSHIUSDT,SYNUSDT,0.0,-4.37,-3.37,2.76,35
10989,PERPUSDT,ATOMUSDT,0.05,-3.37,-3.37,0.1,35
14211,VANAUSDT,APTUSDT,0.04,-3.41,-3.37,1.19,35
10693,ORBSUSDT,POWRUSDT,0.01,-4.03,-3.37,0.1,35
8822,LINKUSDT,GRTUSDT,0.04,-3.38,-3.37,137.26,35
5038,CYBERUSDT,THEUSDT,0.03,-3.57,-3.37,3.66,35
11823,RENUSDT,RAREUSDT,0.01,-3.99,-3.37,0.29,35
2812,AVAAIUSDT,GRIFFAINUSDT,0.0,-4.3,-3.37,0.3,35
11383,PROSUSDT,VANAUSDT,0.01,-4.02,-3.37,0.05,35
3953,CELOUSDT,OSMOUSDT,0.0,-4.54,-3.37,1.37,35
14069,TWTUSDT,SCUSDT,0.03,-3.48,-3.37,198.42,35
11385,PROSUSDT,VELOUSDT,0.02,-3.68,-3.37,20.18,35
8214,HOTUSDT,ORCAUSDT,0.01,-4.05,-3.37,0.0,35
3003,BANANAUSDT,APTUSDT,0.04,-3.46,-3.37,4.96,35
3388,BLASTUSDT,IOTXUSDT,0.01,-3.78,-3.37,0.18,35
8659,KDAUSDT,VANRYUSDT,0.01,-3.97,-3.37,10.53,35
